<<<<<<< HEAD
0.0167128909379 0.0 0.412667065859
0.0498513579369 0.0 0.409143298864
0.0827323421836 0.0 0.414652496576
0.114390045404 0.0 0.425384879112
0.145740449429 0.0 0.43698900938
0.17822419107 0.0 0.444610387087
0.211356058717 0.0 0.441927194595
0.242191269994 0.0 0.429289489985
0.269727349281 0.0 0.410412490368
0.294371783733 0.0 0.387872338295
0.314972788095 0.0 0.361627876759
0.32961243391 0.0 0.331666976213
0.334704339504 0.0 0.298836201429
0.326618075371 0.0 0.266653835773
0.309262663126 0.0 0.238109305501
0.290848791599 0.0 0.210204973817
0.277402639389 0.0 0.179719477892
0.276513457298 0.0 0.146624177694
0.287143468857 0.0 0.115017741919
0.303044050932 0.0 0.0856264978647
0.321154087782 0.0 0.0575401000679
0.339962720871 0.0 0.029886290431
0.358088254929 0.0 0.00179993000347
0.373500436544 0.0 -0.0278163850307
0.382042080164 0.0 -0.060016296804
0.375605046749 0.0 -0.0923122242093
0.35444188118 0.0 -0.117926776409
0.327829837799 0.0 -0.138033643365
0.299311548471 0.0 -0.155473157763
0.270020008087 0.0 -0.171599447727
0.240486800671 0.0 -0.187041699886
0.210704907775 0.0 -0.202279374003
0.180799528956 0.0 -0.217491537333
0.151007249951 0.0 -0.232519716024
0.12105640769 0.0 -0.247386574745
0.0909476876259 0.0 -0.261983692646
0.060661315918 0.0 -0.276204109192
0.0301702134311 0.0 -0.28991907835
-0.000557328574359 0.0 -0.302955806255
-0.0318197607994 0.0 -0.315157175064
-0.0635006949306 0.0 -0.326021254063
-0.0956315547228 0.0 -0.334752827883
-0.12867154181 0.0 -0.339655280113
-0.161888375878 0.0 -0.337317198515
-0.192354038358 0.0 -0.324190557003
-0.216518551111 0.0 -0.301254600286
-0.236329421401 0.0 -0.274311035872
-0.257483690977 0.0 -0.248496502638
-0.279679089785 0.0 -0.223517999053
-0.297450602055 0.0 -0.195371344686
-0.304129689932 0.0 -0.162809297442
-0.30451002717 0.0 -0.129361212254
-0.306771099567 0.0 -0.0960396900773
-0.320450335741 0.0 -0.0660517811775
-0.346933215857 0.0 -0.0458481833339
-0.37495213747 0.0 -0.0276330374181
-0.397374123335 0.0 -0.00317580066621
-0.406698048115 0.0 0.0286440737545
-0.40668463707 0.0 0.0620796717703
-0.40193015337 0.0 0.0951680913568
-0.394157350063 0.0 0.127722546458
-0.383898615837 0.0 0.159589111805
-0.370118975639 0.0 0.189925685525
-0.352162122726 0.0 0.217823892832
-0.358881175518 0.0 0.249557584524
-0.371742278337 0.0 0.28025791049
-0.373801797628 0.0 0.3135022223
-0.367590516806 0.0 0.346278131008
-0.35395398736 0.0 0.376707106829
-0.332863420248 0.0 0.402527034283
-0.30654489994 0.0 0.423056006432
-0.276746094227 0.0 0.438064604998
-0.244471505284 0.0 0.446467787027
-0.211203724146 0.0 0.449486196041
-0.177851423621 0.0 0.451157510281
-0.144449159503 0.0 0.452338367701
-0.111081391573 0.0 0.45074531436
-0.0782284289598 0.0 0.444728761911
-0.0465294085443 0.0 0.4341814816
-0.015261455439 0.0 0.422348469496
||||||| merged common ancestors
-0.0168926939368 0.0 0.241927728057
0.0124437846243 0.0 0.212485685945
0.0545071475208 0.0 0.208501011133
0.0897860229015 0.0 0.230149626732
0.105195827782 0.0 0.269950181246
0.134771376848 0.0 0.298864394426
0.176904261112 0.0 0.302139729261
0.21130810678 0.0 0.278968572617
0.229242369533 0.0 0.240211859345
0.251798152924 0.0 0.204213231802
0.287772029638 0.0 0.181720808148
0.329756826162 0.0 0.175284430385
0.370885550976 0.0 0.186091795564
0.410510152578 0.0 0.202112406492
0.451042711735 0.0 0.195470392704
0.4771451056 0.0 0.162140920758
0.482625424862 0.0 0.120531029999
0.46405094862 0.0 0.0822049155831
0.447098433971 0.0 0.0431367531419
0.439803302288 0.0 0.00100402813405
0.439230412245 0.0 -0.0417000167072
0.443130910397 0.0 -0.0842930153012
0.451310306787 0.0 -0.126268446445
0.46508538723 0.0 -0.166717395186
0.486904680729 0.0 -0.203298091888
0.513678133488 0.0 -0.23660774529
0.536011815071 0.0 -0.272830605507
0.546301066875 0.0 -0.314236342907
0.547710418701 0.0 -0.356930285692
0.542445778847 0.0 -0.39934617281
0.529393434525 0.0 -0.440000504255
0.504288852215 0.0 -0.474196493626
0.469405680895 0.0 -0.498719751835
0.432801902294 0.0 -0.520774662495
0.399360239506 0.0 -0.547318696976
0.372112989426 0.0 -0.580133676529
0.352637261152 0.0 -0.618111610413
0.336109161377 0.0 -0.657566308975
0.314205437899 0.0 -0.694137275219
0.279938727617 0.0 -0.718683302402
0.237756535411 0.0 -0.723826944828
0.195342227817 0.0 -0.717966914177
0.154201775789 0.0 -0.706376791
0.114418879151 0.0 -0.690656423569
0.0764355063438 0.0 -0.670857965946
0.0419958047569 0.0 -0.645760178566
0.00796512328088 0.0 -0.620182991028
-0.0331983119249 0.0 -0.610206186771
-0.0755052343011 0.0 -0.613152265549
-0.117699429393 0.0 -0.620681464672
-0.159733891487 0.0 -0.629493951797
-0.201480031013 0.0 -0.638354301453
-0.243487983942 0.0 -0.64668571949
-0.285686910152 0.0 -0.653867065907
-0.328113496304 0.0 -0.659200549126
-0.370871901512 0.0 -0.661675333977
-0.413385003805 0.0 -0.659559965134
-0.455122292042 0.0 -0.650253653526
-0.494126439095 0.0 -0.632986426353
-0.529407083988 0.0 -0.608957827091
-0.561248600483 0.0 -0.580439507961
-0.591119587421 0.0 -0.549836814404
-0.621229231358 0.0 -0.51950699091
-0.653731644154 0.0 -0.491760104895
-0.687961697578 0.0 -0.466157436371
-0.72208237648 0.0 -0.440365046263
-0.752688288689 0.0 -0.410671710968
-0.771855831146 0.0 -0.372893095016
-0.774089336395 0.0 -0.330424189568
-0.763969957829 0.0 -0.288969188929
-0.745161771774 0.0 -0.250628560781
-0.719164431095 0.0 -0.216764301062
-0.687706947327 0.0 -0.187873125076
-0.654849946499 0.0 -0.160526975989
-0.625535964966 0.0 -0.129537194967
-0.60705947876 0.0 -0.0912856757641
-0.601348161697 0.0 -0.0490089170635
-0.602733492851 0.0 -0.00629553291947
-0.607797086239 0.0 0.0361830964684
-0.614566445351 0.0 0.0784052684903
-0.621152937412 0.0 0.120646119118
-0.622959196568 0.0 0.163277342916
-0.611331105232 0.0 0.204043492675
-0.584895789623 0.0 0.237248763442
-0.551039218903 0.0 0.26336991787
-0.514188528061 0.0 0.285172283649
-0.475660860538 0.0 0.303717523813
-0.435754239559 0.0 0.319020241499
-0.394349038601 0.0 0.330080002546
-0.351958632469 0.0 0.332944631577
-0.31414180994 0.0 0.314905554056
-0.291792362928 0.0 0.278669536114
-0.268790751696 0.0 0.243165582418
-0.227642416954 0.0 0.237287670374
-0.187763139606 0.0 0.25238892436
-0.154151916504 0.0 0.278511285782
-0.127773195505 0.0 0.312065839767
-0.0899593308568 0.0 0.329803198576
-0.0494326278567 0.0 0.319675445557
-0.0293423067778 0.0 0.282810330391
=======
0.0289554335177 0.0 0.407315194607
0.0626303702593 0.0 0.413046419621
0.0950371399522 0.0 0.424141556025
0.127185434103 0.0 0.435935944319
0.160607546568 0.0 0.443031907082
0.194432541728 0.0 0.439009338617
0.225577399135 0.0 0.424968928099
0.253309845924 0.0 0.4049269557
0.277924776077 0.0 0.381164908409
0.297918647528 0.0 0.353440195322
0.311075210571 0.0 0.321931272745
0.312913775444 0.0 0.287982553244
0.301118046045 0.0 0.256024301052
0.283091127872 0.0 0.226897090673
0.270179241896 0.0 0.195371687412
0.276549965143 0.0 0.162575021386
0.298685193062 0.0 0.136531993747
0.324543863535 0.0 0.11399307102
0.351045966148 0.0 0.0922594517469
0.376830935478 0.0 0.0697187930346
0.400262594223 0.0 0.0446919053793
0.418541669846 0.0 0.0158341862261
0.429091960192 0.0 -0.0166244860739
0.429254204035 0.0 -0.0506988540292
0.417932629585 0.0 -0.0828370302916
0.397504448891 0.0 -0.110222451389
0.372628450394 0.0 -0.133767828345
0.346090555191 0.0 -0.155461579561
0.319906353951 0.0 -0.177481591702
0.296889007092 0.0 -0.202794492245
0.278050273657 0.0 -0.231357783079
0.259118080139 0.0 -0.259846866131
0.235816672444 0.0 -0.284888476133
0.208872437477 0.0 -0.305962055922
0.179211720824 0.0 -0.323045164347
0.146623894572 0.0 -0.333202540874
0.112622693181 0.0 -0.33173584938
0.0812782049179 0.0 -0.318356096745
0.0530443973839 0.0 -0.298917770386
0.0255860220641 0.0 -0.278493404388
-0.00285151321441 0.0 -0.259383827448
-0.0332334041595 0.0 -0.24362641573
-0.0658467710018 0.0 -0.233426377177
-0.0998544171453 0.0 -0.229494899511
-0.134125798941 0.0 -0.229348823428
-0.168348222971 0.0 -0.230557307601
-0.202678129077 0.0 -0.230489522219
-0.236119672656 0.0 -0.223980247974
-0.260924905539 0.0 -0.201405972242
-0.273324817419 0.0 -0.169554561377
-0.281864732504 0.0 -0.136353954673
-0.293003082275 0.0 -0.103980831802
-0.312846451998 0.0 -0.076375246048
-0.340408116579 0.0 -0.0561402030289
-0.370056927204 0.0 -0.0389359667897
-0.398145526648 0.0 -0.0194069705904
-0.4184910357 0.0 0.00772007135674
-0.425891846418 0.0 0.0410040952265
-0.424958497286 0.0 0.0752424672246
-0.419216185808 0.0 0.109006240964
-0.410184621811 0.0 0.142088145018
-0.39812964201 0.0 0.17415304482
-0.380351245403 0.0 0.203208059072
-0.37379309535 0.0 0.235063821077
-0.388712257147 0.0 0.26583147049
-0.395066827536 0.0 0.299309909344
-0.391456305981 0.0 0.333290666342
-0.380073130131 0.0 0.36550450325
-0.360667407513 0.0 0.393599331379
-0.334989607334 0.0 0.416172891855
-0.305265456438 0.0 0.433094263077
-0.272680550814 0.0 0.443356603384
-0.238694906235 0.0 0.44729411602
-0.204507187009 0.0 0.449012637138
-0.170280858874 0.0 0.450461566448
-0.136071696877 0.0 0.4493252635
-0.102336771786 0.0 0.443727016449
-0.0697379112244 0.0 0.433220714331
-0.0377105288208 0.0 0.421082913876
-0.0049871345982 0.0 0.411022543907
>>>>>>> 8eec0f4c1662d7ecb476c98d49f251080984eb08
