i,im[i]= 0 10
i,im[i]= 1 2
i,im[i]= 2 3
i,im[i]= 3 7
i,im[i]= 4 12
i,im[i]= 5 19
i,im[i]= 6 2
i,im[i]= 7 1
i,im[i]= 8 3
i,im[i]= 9 2
i,im[i]= 10 1
i,im[i]= 11 2
i,im[i]= 12 2
i,im[i]= 13 2
i,im[i]= 14 4
i,im[i]= 15 7
i,im[i]= 16 13
i,im[i]= 17 18
i,im[i]= 18 66
i,im[i]= 19 16
i,im[i]= 20 14
i,im[i]= 21 6
i,im[i]= 22 6
i,im[i]= 23 8
i,im[i]= 24 13
i,im[i]= 25 8
i,im[i]= 26 11
i,im[i]= 27 17
i,im[i]= 28 11
i,im[i]= 29 9
i,im[i]= 30 12
i,im[i]= 31 18
i,im[i]= 32 10
i,im[i]= 33 13
i,im[i]= 34 10
i,im[i]= 35 14
i,im[i]= 36 20
i,im[i]= 37 11
i,im[i]= 38 14
i,im[i]= 39 19
i,im[i]= 40 13
i,im[i]= 41 14
ic,j,angleg[ic][j]= 17 4 2.793759e+000
ic,j,angleg[ic][j]= 17 5 2.888835e+000
ic,j,angleg[ic][j]= 17 6 2.942486e+000
ic,j,angleg[ic][j]= 17 7 3.122859e+000
ic,j,angleg[ic][j]= 17 8 3.441164e+000
ic,j,angleg[ic][j]= 17 9 3.467835e+000
ic,j,angleg[ic][j]= 17 10 3.470939e+000
ic,j,angleg[ic][j]= 17 11 3.556076e+000
ic,j,angleg[ic][j]= 17 12 4.259406e+000
ic,j,angleg[ic][j]= 17 13 5.293858e+000
ic,j,angleg[ic][j]= 17 14 5.435999e+000
ic,j,angleg[ic][j]= 17 15 5.878112e+000
ic,j,angleg[ic][j]= 17 16 6.025001e+000
ic,j,angleg[ic][j]= 17 17 6.213592e+000
ic,j,angleg[ic][j]= 18 0 7.300678e-002
ic,j,angleg[ic][j]= 18 1 1.747062e-001
ic,j,angleg[ic][j]= 18 2 3.877454e-001
ic,j,angleg[ic][j]= 18 3 4.593215e-001
ic,j,angleg[ic][j]= 18 4 6.386137e-001
ic,j,angleg[ic][j]= 18 5 7.245297e-001
ic,j,angleg[ic][j]= 18 6 9.199923e-001
ic,j,angleg[ic][j]= 18 7 9.559507e-001
ic,j,angleg[ic][j]= 18 8 1.129317e+000
ic,j,angleg[ic][j]= 18 9 1.193659e+000
ic,j,angleg[ic][j]= 18 10 1.263786e+000
ic,j,angleg[ic][j]= 18 11 1.278237e+000
ic,j,angleg[ic][j]= 18 12 1.356476e+000
ic,j,angleg[ic][j]= 18 13 1.367986e+000
ic,j,angleg[ic][j]= 18 14 1.378614e+000
ic,j,angleg[ic][j]= 18 15 1.458346e+000
ic,j,angleg[ic][j]= 18 16 1.497129e+000
ic,j,angleg[ic][j]= 18 17 1.511684e+000
ic,j,angleg[ic][j]= 18 18 1.527762e+000
ic,j,angleg[ic][j]= 18 19 1.634293e+000
ic,j,angleg[ic][j]= 18 20 1.722425e+000
ic,j,angleg[ic][j]= 18 21 1.773422e+000
ic,j,angleg[ic][j]= 18 22 1.928625e+000
ic,j,angleg[ic][j]= 18 23 2.042041e+000
ic,j,angleg[ic][j]= 18 24 2.158709e+000
ic,j,angleg[ic][j]= 18 25 2.284676e+000
ic,j,angleg[ic][j]= 18 26 2.347572e+000
ic,j,angleg[ic][j]= 18 27 2.545309e+000
ic,j,angleg[ic][j]= 18 28 2.566082e+000
